GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chat,com.joejoe2.chat.service.message,PrivateMessageServiceImpl,209,165,11,3,31,32,17,6,11,5
chat,com.joejoe2.chat.service.message,PublicMessageServiceImpl,29,142,0,2,2,30,5,5,5,4
chat,com.joejoe2.chat.service.user.auth,UserDetailService,41,3,2,0,9,1,4,1,3,1
chat,com.joejoe2.chat.repository.channel,PrivateChannelRepository,4,33,0,0,1,4,1,2,1,2
chat,com.joejoe2.chat.service.jwt,JwtServiceImpl,6,7,0,0,1,2,1,2,1,2
chat,com.joejoe2.chat.service.nats,NatsServiceImpl,42,7,0,0,13,2,4,2,4,2
chat,com.joejoe2.chat.utils,HttpUtil,67,0,4,0,13,0,5,0,3,0
chat,com.joejoe2.chat.utils,AuthUtil,41,0,6,0,10,0,7,0,4,0
chat,com.joejoe2.chat.utils,Utils,3,0,0,0,1,0,1,0,1,0
chat,com.joejoe2.chat.utils,JwtUtil,98,0,6,0,20,0,8,0,5,0
chat,com.joejoe2.chat.utils,SubjectPrefix,3,0,0,0,1,0,1,0,1,0
chat,com.joejoe2.chat.utils,SseUtil,30,0,0,0,12,0,5,0,5,0
chat,com.joejoe2.chat.utils,IPUtils,15,0,0,0,5,0,3,0,3,0
chat,com.joejoe2.chat.validation.validator,PublicChannelNameValidator,20,37,4,6,0,10,4,4,0,3
chat,com.joejoe2.chat.validation.validator,MessageValidator,15,19,3,3,0,7,3,2,0,2
chat,com.joejoe2.chat.validation.validator,PageRequestValidator,20,32,4,6,0,7,4,3,0,2
chat,com.joejoe2.chat.validation.validator,UUIDValidator,5,15,1,1,0,5,1,2,0,2
chat,com.joejoe2.chat.validation.validator,Validator,0,3,0,0,0,1,0,1,0,1
chat,com.joejoe2.chat,ChatApplication,7,7,0,0,3,3,1,2,1,2
chat,com.joejoe2.chat.controller,GlobalExceptionHandler,104,3,4,0,17,1,6,1,4,1
chat,com.joejoe2.chat.controller,PublicChannelController,150,3,0,0,28,1,7,1,7,1
chat,com.joejoe2.chat.controller,PrivateChannelController,135,3,0,0,25,1,7,1,7,1
chat,com.joejoe2.chat.service.channel,PrivateChannelServiceImpl,186,179,8,6,38,32,20,9,16,6
chat,com.joejoe2.chat.service.channel,PublicChannelServiceImpl,163,117,8,2,39,21,15,8,11,7
